Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,28265,-,-,India,26.55,75.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2014,1,4,3,30,0,0,0,0,0,0,6,13.401896631,973.1724853516,65.0892702788,139.6823223438,2.2709857789,0,110.2148742676,1.6173498631,0,,,,,,,,,,,,,,
2014,1,4,4,30,0,0,0,0,0,0,7,13.1180187076,973.0946655273,66.6368657889,126.3767999046,2.263638111,0,108.1006469727,1.5674344301,0,,,,,,,,,,,,,,
2014,1,4,5,30,0,0,0,0,0,0,7,12.8742095137,973.4923706055,67.5920023262,113.2713666922,2.226153442,0,106.8049240112,1.6105411053,0,,,,,,,,,,,,,,
2014,1,4,6,30,0,0,0,0,0,0,6,12.4956259414,973.7130737305,68.5883577949,100.4822652858,2.1784080952,0,108.635269165,1.601965785,0,,,,,,,,,,,,,,
2014,1,4,7,30,4,0,4,8,18,9,7,13.1830606655,974.3170776367,66.7711534293,88.1715211136,2.1296270465,0,111.7127990723,1.5097666979,0,,,,,,,,,,,,,,
2014,1,4,8,30,104,36,113,100,271,163,8,14.8428317123,974.9401245117,64.6686858951,76.6007705569,2.0679244516,0,106.5620040894,1.3204246759,0,,,,,,,,,,,,,,
2014,1,4,9,30,183,21,192,162,452,345,9,17.8773654581,975.5784912109,57.619317556,66.1677663166,1.9956924723,0,112.5070495605,1.1339203119,0,,,,,,,,,,,,,,
2014,1,4,10,30,254,31,271,199,558,499,10,20.9206080106,975.1760864258,50.3246380031,57.512439225,1.920947285,0,138.9088134766,0.7611860037,0,,,,,,,,,,,,,,
2014,1,4,11,30,300,37,324,219,614,602,10,23.1290701502,973.7251586914,45.6189686658,51.5494088056,1.8371501757,0,215.430267334,0.6543906331,0,,,,,,,,,,,,,,
2014,1,4,12,30,289,63,331,226,634,640,10,24.3376387447,972.6967773438,41.3569535507,49.2728714956,1.7667538458,0,246.2923736572,1.0661395788,0,,,,,,,,,,,,,,
2014,1,4,13,30,300,480,601,221,621,611,9,24.5860097528,971.7655029297,38.5890950664,51.1794705675,1.6914079328,0,260.7543334961,1.3941986561,0,,,,,,,,,,,,,,
2014,1,4,14,30,203,572,516,203,572,516,8,23.9638431601,971.0131225586,37.8843849507,56.8483372346,1.609616778,0,269.9620056152,1.5779744387,0,,,,,,,,,,,,,,
2014,1,4,15,30,186,404,355,168,474,366,7,22.6007155374,971.0387573242,39.0254310214,65.3024003668,1.5380576645,0,280.161315918,1.6246782541,0,,,,,,,,,,,,,,
